paperId,title,references,citations
arXiv:1706.03762,Attention is All you Need,032274e57f7d8b456bd255fe76b909b2c1d7458e;4550a4c714920ef57d19878e31c9ebae37b049b2;204a4a70428f3938d2c538a4d74c7ae0416306d8;13d9323a8716131911bfda048a40e2cde1a76a46;735d547fc75e0772d2a78c46a1cc5fad7da1474c;5b6ec746d309b165f9f9def873a2375b6fb40f3d;c6850869aa5e78a107c378d2e8bfa39633158c0c;97fb4e3d45bb098e27e0071448b6152217bd35a5;b60abe57bc195616063be10638c6437358c81d1e;7345843e87c81e24e42264859b214d26042f8d51;2c03df8b48bf3fa39054345bafabfeff15bfd11d;23ffaa0fe06eae05817f527a47ac3291077f9e58;5e4eb58d5b47ac1c73f4cf189497170e75ae6237;93499a7c7f699b6630a86fad964536f9423bb6d0;4f10b9f47c5bb6b54dd4f5ca8d9fa2c0bbd7ec5e;47570e7f63e296f224a0e7f9a0d08b0de3cbaf40;a6cb366736791bcccc5c8639de5a8f9636bf87e8;ac3ee98020251797c2b401e1389461df88e52e62;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17;174bbdb96252454cbb40a9c4e53335996235a008;f52de7242e574b70410ca6fb70b79c811919fc00;78a9513e70f596077179101f6cb6eadc51602039;2e9d221c206e9503ceb452302d68d10e293f2a10;34f25a8704614163c4095b3ee2fc969b60de4698;2e5f2b57f4c476dd69dc22ccdf547e48f40a994c,1ec504c1b20a1101c2ccd11dab20114f9975ab60;faa1a6fcd3fa0824102e45f3ac237699ba02a083;55e2b598f95cf862bcdc5001fea93e4326f0a2dd;18f93abd3968eefae9c79cefc8315051ce8493b4;7cc95f026898c12f798f5466cfa108e1060bc099;c4bd1b1dcce98538d0e80599dc2b2bbd00dee912;7face457c24f9db59cf13e51162203e4d006e3ce;027d5b93fc50032c6ffbc5ec4d3b21c534269d25;7e70ba952b14a8e0510445d24ba00d0d07fdb02a;202c996fee7c3e4e522280be7f21acd3672df30d;0e7e4b9be491c9881e9390fe086706a587a8b947;7e56c00f5f8a262eab33adf5b6c0f8dfe4b5d47d;69d26bc088a895ba59361de56f5ec8ba8bf1858c;7d58c6e6405132fb1a890936374153d46e51289b;378fde67e596434448e57e76ff8dc6dca01c1932;69606fb383446c5e319c6a0ad162b6e7e7a25bc0;f6e4485e2f02f65ac4874a1d4758006af2301dc9;81a4bfbca7133bd889c3574c9df9ee775fd3d150;e8e0e1885282499096df25e4e5d2c53e8ffc491a;d6d02ecb3de1a177a3ae81444112068cfa369f93;9dc94ec8c895906b9b328b594ec82a11eab53475;d35283bd687102a520c08842061e620c13845237;b39b57a34d63b1785f67a1c9c42ffc0e09f00a7b;97b21c0eacefa09e634f9f8cb10432f84d1f3588;2f50722207fa8882b8321796f029d2fbee7dc2ac;0276efb16c5732026e1644f66b83a691f6c0bb6a;a635d3a4b53932137be2eddee90918832ae47a54;2ca57fbce87b104b25de50a0ccd42840f43316bd;94caf637e38ca701d33ebc76e7040ee5adb84e27;903febbba9e4f9a57cada19ebd1942845cc25851;700c856207eb09d6ba6b31df8cf73b789c7b3d4c;88f39166f34eb33a5b1050d2823a8762ec797022;f6aa2ea93ca99c023791f02012b311ab601233d6;bd44a5fe60ab828ec2733f2b0d96d2d9cadd6ce5;d84e180d974de42dae81e76eb0134991d3f77a9f;5584efd0f999222370d2ea320ed06999792df9ec;f8831ebd46b6fa75cce9a73f5129d5a84fa47b10;e3a804cb35eb1f6873249e50d394a2e374cad8bc;f301ac8fc2da8ff39b845703c1696451a87117dd;a7b6a9b02b2ade6cffc9dcf4215859456051fb7e;8350beafc52e57b8f45a593e0bd0ffb487cdc4b4;2844a917017e0cb401759c7c58c348222fcffe54;777491178cf2a0ad7a58ecfbb9e0ab1f77ddecd6;ffe285925026c186f9d05b93a33b5c9502a99c27;f44773343f6870d4a0e612e5668a71e9c922ee41;9f3b92b8f824ae193d73bc2d96285638d68b3d04;233f61fe049335a493dd7b66b00356044b0910f6;f3b51788b9ca47e70cc14af3c0143111dc7f838b;5d4f4b387c6931e7b96e0764eeffd7fe00860f9e;83c5f30beeb755f238b47c885fe0bb4ef639e653;9268c8979b8fe2d2ac3cdee03a155a05bd020347;f2b559069a6aab7384c0afeb4b1fe2d2a0fe846b;0827824ab53e09b0826c94fda91c770ec3558e3d;e7e5ff0c07efd89a1562af3fec0195e2346fe496;f33dfcd984a3e2b83ba41c5051a1e82917b5938f;76141224c2a4605704d0c4f12a509987f4d4345a;899e370d0510213ee874ee12f17496fbc17e2124;5c3bbfff3827bbe6d34f68a8f0893881d22dbcd7;014f9e941c0629f546fbb6cfc8690df19a471a2a;e6d8dc93b709f804f51ac6a1e76457476dbea733;8c5d5f10ebe27557d49e21a3fec83e45a88a5ca8;257cd0fdb9cf8fa278ec59a567f5b1bdf74f3ca3;9e59fec00b0f8dc97d45882b7347a45328754700;af586ef4b32f5672693a63c3fe07219b4ae330da;01cd393e4e6f2fc4c95fde7bf0413106befd806e;50238f572e518fa200defbb06e6074fd32185f86;d99743513bb536f89d3c4a01f148e4838c41dbf7;a93eaa26087f2b2e5314ce8beeee96edb5dcbf05;14c705119dc1cf33cd2c625a6f710ecc9d1327ec;8a9f67ba2bec94e0e10bf03187a7dcf8110126d4;a93fc70e0f722f1c7e7c07aef25e54037e06b1c9;d73a0f8385a7b46df761ed8bd402c94f6518e838;e39e01f2822aefffee5d81b62de8c9a2b819ca20;e19cc27a61ae39c5b707becbddc11141045c553a;2aadf4b8f9d3dd064a1853778b5f900ad61ede09;e32f1c3f36555e6da4c7cca0f3e651837516e848;459e6b1c3c502f0b9060befa1b9ca0b582ff6aa2;fc8746f598c714f187b00e80d3468f039c1885cd;cc7779a67273e4e9483f23b3a28ea2825a1d8fea;18ec1c6911931d9cc8d1d05ea24d6a27cae0a485;88f6e1235f23482ea0aa403a0d127d89c0287f15;96d2b032b56768419f2d8f0ceffbc40e3ca4b32e;8c9a6aec3fd4ca197f6333a0154dd9c4458787fa;b73f6593c38c193283b4e22f1db660aa20fe5d22;8d2d817163304365614cf16ffcadd0a562ed24c9;9828261cf2ba29d79c051fe06b4e20a74467443a;0a9d0c3ac969e6f7448580047993e13c54e80eaf;3e1fa94867e67d04ec413d0afac275ac04fb97c7;25815ec66adabfef0508aef2e8ca82469eb9fa09;2af9ad08d520e799bd725777909333718a0e5ce2;08c46a63ef6193396ca5b52b44e10201e67ef955;3777ea0bfcca79da295c520efe4eb0023a388927;8621fafeda1c9e4fcf520511ece05d9d5dda3011;72a8a687df6844030d553e1de221239b2a57c1b1;fa865d12e8b7bf7f0c66c869768d2d58f2b318d1;5cf6bade358c2de64c0a85d1ffd03e06aa9bd103;75b5c9130a70129c347a73d4f8b04fec8ff6c57c;fa07f8d049682dd5f07d66f3283249632b85f3f4;2b961b62bf80d6c2832179a70fd5ba6aee63e09a;8c30caf3a90f20ee5388c052b70b03a3486491a3;773b5db8fbf7bc25d78935a9b7caba156d1cd123;91439557f2a2bb3fc8a5abf137a16d975622a8d1;459bed7b7afe61c6f73754f6cb3fc0000b0d7090;56f724a2b9be1ac4641427cbb30b198942baffa5;c48d5a0c375e6a735c296027776569d59cec8507;7467f35122c6ab4d190b63bf387556859ae9172d;df27ae9734e10fc0495ab3777bd914a209e48507;b4ad853ab0b8f48f9834662d8afe4c7c8114b04e;187ad14707f2416beb775fcb1b02df51e92f9fdb;5d59213e58c9c2c32e9a33ccb14f025fb61dad11;5da4b0481b3323eda70b124e94dd485a94956cc4;72c28f54e66b93a33eccba1419aea057a273592d;1f418d4dcc59d850c65e43234d38cfdb1ab84ea3;b5935b41a88dfe81e5dc6f7acc6e5ea00260c112;d8ef6aa8f7f74c76fe028c056c4debda8fa4317e;aef26fff6474b974fc5e88ef39729740561dcfe8;788fa2fe0d59667336b5dd4419f1b1d90303245f;f5c3e735db605c0a4a3ddaeaa14fb16025c142c5;f93710381d483791195fac430e7d4925e360233a;3cb750f1b95a41071046de5fbeaadd50a7c59164;7076dca330dd7df2ddcfa5bf1c570b33e2992579
arXiv:1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate,0b544dfe355a5070b60986319a3f51fb45d1348e;6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17;2e9d221c206e9503ceb452302d68d10e293f2a10,5584efd0f999222370d2ea320ed06999792df9ec
032274e57f7d8b456bd255fe76b909b2c1d7458e,A Deep Reinforced Model for Abstractive Summarization,c6850869aa5e78a107c378d2e8bfa39633158c0c;a6cb366736791bcccc5c8639de5a8f9636bf87e8;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;2e9d221c206e9503ceb452302d68d10e293f2a10,
4550a4c714920ef57d19878e31c9ebae37b049b2,Massive Exploration of Neural Machine Translation Architectures,c6850869aa5e78a107c378d2e8bfa39633158c0c;b60abe57bc195616063be10638c6437358c81d1e;2c03df8b48bf3fa39054345bafabfeff15bfd11d;93499a7c7f699b6630a86fad964536f9423bb6d0;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;2e9d221c206e9503ceb452302d68d10e293f2a10;b60abe57bc195616063be10638c6437358c81d1e,
204a4a70428f3938d2c538a4d74c7ae0416306d8,A Structured Self-attentive Sentence Embedding,ac3ee98020251797c2b401e1389461df88e52e62;2e9d221c206e9503ceb452302d68d10e293f2a10,
13d9323a8716131911bfda048a40e2cde1a76a46,Structured Attention Networks,93499a7c7f699b6630a86fad964536f9423bb6d0;4f10b9f47c5bb6b54dd4f5ca8d9fa2c0bbd7ec5e;a6cb366736791bcccc5c8639de5a8f9636bf87e8;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,
735d547fc75e0772d2a78c46a1cc5fad7da1474c,Can Active Memory Replace Attention?,2c03df8b48bf3fa39054345bafabfeff15bfd11d;5e4eb58d5b47ac1c73f4cf189497170e75ae6237;47570e7f63e296f224a0e7f9a0d08b0de3cbaf40;a6cb366736791bcccc5c8639de5a8f9636bf87e8;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;2e9d221c206e9503ceb452302d68d10e293f2a10;5e4eb58d5b47ac1c73f4cf189497170e75ae6237;47570e7f63e296f224a0e7f9a0d08b0de3cbaf40,
5b6ec746d309b165f9f9def873a2375b6fb40f3d,Xception: Deep Learning with Depthwise Separable Convolutions,2c03df8b48bf3fa39054345bafabfeff15bfd11d;23ffaa0fe06eae05817f527a47ac3291077f9e58,8350beafc52e57b8f45a593e0bd0ffb487cdc4b4;f44773343f6870d4a0e612e5668a71e9c922ee41
c6850869aa5e78a107c378d2e8bfa39633158c0c,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,b60abe57bc195616063be10638c6437358c81d1e;2c03df8b48bf3fa39054345bafabfeff15bfd11d;93499a7c7f699b6630a86fad964536f9423bb6d0;a6cb366736791bcccc5c8639de5a8f9636bf87e8;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;2e9d221c206e9503ceb452302d68d10e293f2a10;2e5f2b57f4c476dd69dc22ccdf547e48f40a994c;b60abe57bc195616063be10638c6437358c81d1e,
97fb4e3d45bb098e27e0071448b6152217bd35a5,Layer Normalization,a6cb366736791bcccc5c8639de5a8f9636bf87e8;0b544dfe355a5070b60986319a3f51fb45d1348e;6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17,
b60abe57bc195616063be10638c6437358c81d1e,Deep Recurrent Models with Fast-Forward Connections for Neural Machine Translation,2c03df8b48bf3fa39054345bafabfeff15bfd11d;a6cb366736791bcccc5c8639de5a8f9636bf87e8;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;2e9d221c206e9503ceb452302d68d10e293f2a10,4550a4c714920ef57d19878e31c9ebae37b049b2;c6850869aa5e78a107c378d2e8bfa39633158c0c
7345843e87c81e24e42264859b214d26042f8d51,Recurrent Neural Network Grammars,47570e7f63e296f224a0e7f9a0d08b0de3cbaf40;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;174bbdb96252454cbb40a9c4e53335996235a008;78a9513e70f596077179101f6cb6eadc51602039;47570e7f63e296f224a0e7f9a0d08b0de3cbaf40;174bbdb96252454cbb40a9c4e53335996235a008;78a9513e70f596077179101f6cb6eadc51602039,
2c03df8b48bf3fa39054345bafabfeff15bfd11d,Deep Residual Learning for Image Recognition,2e9d221c206e9503ceb452302d68d10e293f2a10,55e2b598f95cf862bcdc5001fea93e4326f0a2dd;88f39166f34eb33a5b1050d2823a8762ec797022;f301ac8fc2da8ff39b845703c1696451a87117dd;a7b6a9b02b2ade6cffc9dcf4215859456051fb7e;8350beafc52e57b8f45a593e0bd0ffb487cdc4b4;f44773343f6870d4a0e612e5668a71e9c922ee41;9f3b92b8f824ae193d73bc2d96285638d68b3d04;9e59fec00b0f8dc97d45882b7347a45328754700;2aadf4b8f9d3dd064a1853778b5f900ad61ede09;459e6b1c3c502f0b9060befa1b9ca0b582ff6aa2;72a8a687df6844030d553e1de221239b2a57c1b1;8c30caf3a90f20ee5388c052b70b03a3486491a3;91439557f2a2bb3fc8a5abf137a16d975622a8d1;459bed7b7afe61c6f73754f6cb3fc0000b0d7090;56f724a2b9be1ac4641427cbb30b198942baffa5;7467f35122c6ab4d190b63bf387556859ae9172d;3cb750f1b95a41071046de5fbeaadd50a7c59164;7467f35122c6ab4d190b63bf387556859ae9172d;3cb750f1b95a41071046de5fbeaadd50a7c59164
23ffaa0fe06eae05817f527a47ac3291077f9e58,Rethinking the Inception Architecture for Computer Vision,,2b961b62bf80d6c2832179a70fd5ba6aee63e09a
5e4eb58d5b47ac1c73f4cf189497170e75ae6237,Neural GPUs Learn Algorithms,47570e7f63e296f224a0e7f9a0d08b0de3cbaf40;a6cb366736791bcccc5c8639de5a8f9636bf87e8;ac3ee98020251797c2b401e1389461df88e52e62;fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e;2e9d221c206e9503ceb452302d68d10e293f2a10;47570e7f63e296f224a0e7f9a0d08b0de3cbaf40,735d547fc75e0772d2a78c46a1cc5fad7da1474c
93499a7c7f699b6630a86fad964536f9423bb6d0,Effective Approaches to Attention-based Neural Machine Translation,fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;0b544dfe355a5070b60986319a3f51fb45d1348e,
4f10b9f47c5bb6b54dd4f5ca8d9fa2c0bbd7ec5e,End-To-End Memory Networks,,
47570e7f63e296f224a0e7f9a0d08b0de3cbaf40,Grammar as a Foreign Language,fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17;174bbdb96252454cbb40a9c4e53335996235a008;f52de7242e574b70410ca6fb70b79c811919fc00;78a9513e70f596077179101f6cb6eadc51602039;2e9d221c206e9503ceb452302d68d10e293f2a10;174bbdb96252454cbb40a9c4e53335996235a008;f52de7242e574b70410ca6fb70b79c811919fc00;78a9513e70f596077179101f6cb6eadc51602039,735d547fc75e0772d2a78c46a1cc5fad7da1474c;7345843e87c81e24e42264859b214d26042f8d51;5e4eb58d5b47ac1c73f4cf189497170e75ae6237
a6cb366736791bcccc5c8639de5a8f9636bf87e8,Adam: A Method for Stochastic Optimization,6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17,18f93abd3968eefae9c79cefc8315051ce8493b4;d6d02ecb3de1a177a3ae81444112068cfa369f93;2f50722207fa8882b8321796f029d2fbee7dc2ac;ffe285925026c186f9d05b93a33b5c9502a99c27;f44773343f6870d4a0e612e5668a71e9c922ee41;a93fc70e0f722f1c7e7c07aef25e54037e06b1c9;b4ad853ab0b8f48f9834662d8afe4c7c8114b04e;b4ad853ab0b8f48f9834662d8afe4c7c8114b04e
ac3ee98020251797c2b401e1389461df88e52e62,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling,fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5;6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17;2e9d221c206e9503ceb452302d68d10e293f2a10,d6d02ecb3de1a177a3ae81444112068cfa369f93;233f61fe049335a493dd7b66b00356044b0910f6
